Course,Previous qualification,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Gender,Age at enrollment,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),GDP,Target
10,1,13,28,8,9,0,21,6,9,6,11.375,0,6,9,6,13.28571429,-0.92,Graduate
6,1,13,14,4,4,0,18,5,9,5,12.66666667,0,5,7,4,13,-3.12,Enrolled
9,1,13,1,10,10,0,20,5,6,5,12,0,5,6,5,12.33333333,-0.92,Graduate
12,1,3,3,2,11,1,19,7,9,6,12.93333333,0,7,7,6,13.71666667,-0.92,Enrolled
4,14,4,5,5,3,1,21,6,15,5,11.85714286,0,6,17,5,10.57142857,-0.92,Enrolled
5,1,27,3,16,22,1,20,6,7,6,12.83333333,0,6,9,4,13.4,3.51,Graduate
9,1,1,1,5,7,1,18,5,9,3,11.33333333,0,5,8,2,13.5,3.51,Enrolled
3,1,13,1,10,6,0,19,6,6,6,12.66666667,0,6,8,6,14.375,1.79,Graduate
17,1,2,27,4,10,1,34,5,6,5,12.4,0,5,9,5,13.42857143,0.79,Graduate
1,1,23,27,10,7,1,37,7,7,0,0,0,7,7,1,10,3.51,Need Additional Support
7,8,19,27,1,1,1,43,5,0,0,0,0,5,0,0,0,0.32,Need Additional Support
9,1,22,27,7,7,0,55,5,10,1,10,0,5,8,2,12,-0.92,Need Additional Support
17,1,13,14,10,4,0,39,5,8,5,11,0,5,5,5,11.6,0.32,Graduate
8,14,4,4,4,7,0,20,6,13,3,11.66666667,1,6,11,3,12,1.79,Need Additional Support
15,1,3,3,3,3,0,18,6,6,4,12.75,0,5,5,0,0,-1.7,Need Additional Support
9,1,3,14,3,8,0,22,5,5,5,14.8,0,5,5,5,15.8,3.51,Graduate
12,1,1,3,3,3,0,22,7,9,5,13.928,0,8,9,7,14.34285714,2.02,Graduate
15,1,1,28,6,6,0,20,6,7,4,13,0,6,7,5,13.8,1.79,Need Additional Support
17,1,22,27,10,10,0,29,5,0,0,0,0,5,0,0,0,-0.92,Need Additional Support
17,1,23,28,5,6,0,24,5,9,2,11.5,0,5,11,3,14.33333333,0.32,Enrolled
10,1,13,14,10,10,0,18,6,6,6,11.66666667,0,6,8,5,13.2,2.02,Graduate
12,1,22,14,8,8,0,22,7,8,6,13.51666667,0,8,9,7,13.77142857,2.02,Graduate
3,14,1,14,10,10,0,21,6,6,6,11.5,2,6,7,6,13.28571429,1.79,Graduate
10,1,22,28,10,10,0,19,6,7,5,12.33333333,0,6,7,6,12.83333333,-1.7,Graduate
11,1,13,28,10,8,0,24,6,6,6,13.66666667,0,6,6,6,14.16666667,1.79,Graduate
12,1,22,28,7,7,0,19,8,10,6,11.83333333,0,8,10,6,11.83333333,-3.12,Enrolled
15,1,1,14,8,8,0,20,6,11,4,14,0,6,12,3,11,-3.12,Enrolled
8,1,22,27,12,12,0,19,5,7,5,14.71428571,0,5,5,5,15.8,0.32,Graduate
17,1,23,28,10,10,0,27,5,12,5,10.6,0,5,10,5,11,-3.12,Need Additional Support
12,1,1,14,6,6,0,18,7,9,7,13.04444444,0,8,10,8,13.595,-4.06,Graduate
11,3,1,3,5,4,0,39,6,10,0,0,0,6,6,0,0,1.79,Need Additional Support
8,15,3,3,3,3,0,27,6,9,5,13,5,11,13,10,12.9,1.79,Need Additional Support
12,1,23,28,8,11,0,18,8,8,8,14.935,0,8,8,8,14.935,-3.12,Graduate
2,1,23,27,5,10,0,18,0,0,0,0,0,0,0,0,0,0.32,Enrolled
12,1,13,14,10,10,0,18,7,8,6,13.13333333,0,8,12,7,12.22142857,-0.92,Graduate
10,14,13,1,10,10,0,21,6,7,6,12,2,6,7,6,12,0.79,Graduate
2,1,1,27,5,8,1,19,0,0,0,0,0,0,0,0,0,1.74,Enrolled
5,1,1,1,4,5,1,19,6,6,5,11.4,0,6,8,1,10,1.74,Enrolled
5,1,1,1,4,4,1,24,6,6,0,0,0,6,6,0,0,-1.7,Enrolled
12,12,1,1,6,6,1,29,7,10,5,11.9,1,8,10,5,11,0.79,Need Additional Support
2,1,13,14,6,4,1,19,0,0,0,0,0,0,0,0,0,1.74,Graduate
4,14,13,27,10,10,1,23,6,8,6,12.57142857,0,6,7,6,12.42857143,3.51,Graduate
9,1,1,28,8,8,1,19,5,8,5,11.2,0,5,10,4,10.75,-0.92,Need Additional Support
11,1,13,27,8,11,1,26,6,7,6,12,0,6,8,5,10.8,-1.7,Enrolled
9,1,23,27,6,6,1,18,5,9,0,0,0,5,5,0,0,0.32,Enrolled
12,1,22,14,9,5,1,24,7,8,7,11.975,0,8,8,8,13.75,0.79,Graduate
2,1,13,14,6,11,1,19,0,0,0,0,0,0,0,0,0,-4.06,Need Additional Support
11,1,23,27,6,8,1,18,6,12,3,11.66666667,0,6,12,1,12,1.79,Need Additional Support
15,1,23,28,10,10,1,18,6,8,6,12.33333333,0,6,11,3,12.33333333,1.74,Graduate
9,1,13,14,5,8,1,18,5,8,3,10.33333333,0,5,11,3,10.85714286,1.74,Need Additional Support
11,1,13,27,8,8,1,21,6,8,4,10.5,0,6,11,1,11,-3.12,Need Additional Support
15,1,1,14,10,9,1,19,6,6,6,13.66666667,0,6,6,6,13.33333333,3.51,Graduate
12,1,23,27,10,10,1,22,7,7,7,14.84285714,0,8,9,8,15.05555556,-0.92,Graduate
3,1,22,27,10,7,1,33,6,8,6,12,0,6,6,6,11.66666667,1.74,Graduate
16,1,13,14,10,10,1,20,6,8,5,12.2,0,6,7,5,12.2,1.74,Need Additional Support
17,2,3,3,3,3,1,35,1,1,0,0,0,5,0,0,0,1.74,Need Additional Support
4,4,3,3,5,3,1,24,12,17,6,12.16666667,7,12,14,10,13.3,1.79,Need Additional Support
11,1,13,14,5,5,1,18,5,6,5,12,0,5,8,3,11.33333333,-1.7,Enrolled
3,1,22,27,10,7,0,33,6,7,6,11,0,6,11,5,11,-3.12,Graduate
12,1,22,28,10,8,0,22,8,8,7,13.08,0,8,8,7,13.08,1.74,Graduate
14,1,1,14,5,6,0,25,5,7,4,10.5,0,5,7,5,11.6,-3.12,Graduate
5,1,13,28,5,1,1,20,6,9,6,10.66666667,0,6,6,5,11.2,0.32,Graduate
9,1,23,27,10,10,1,23,5,6,4,14,0,5,5,5,13.8,2.02,Enrolled
7,1,23,14,10,7,1,18,5,9,2,10,0,5,9,0,0,-4.06,Enrolled
12,1,1,1,5,11,1,24,7,18,0,0,0,7,7,0,0,0.79,Need Additional Support
15,1,13,1,10,10,0,21,6,6,6,14,0,6,6,6,13.5,3.51,Graduate
8,1,1,1,5,5,0,26,6,7,2,12,0,6,6,0,0,3.51,Need Additional Support
16,8,22,24,1,1,0,39,6,12,3,12.66666667,0,6,14,0,0,0.32,Need Additional Support
3,1,22,14,10,10,0,44,8,11,8,11.875,0,6,7,6,12.33333333,-1.7,Graduate
7,1,23,3,10,3,1,19,5,9,5,14,0,5,11,3,13.25,0.79,Enrolled
15,1,22,1,6,6,0,18,6,6,6,13.66666667,0,6,6,6,13.33333333,3.51,Graduate
12,1,22,27,8,8,0,18,7,7,7,13.75,0,8,9,8,14.47777778,1.79,Graduate
6,1,1,2,10,2,0,19,5,7,5,14.2,0,5,7,5,13.8,-1.7,Enrolled
12,1,3,3,3,3,0,19,7,10,4,11.96,0,7,7,0,0,0.79,Need Additional Support
6,16,23,28,10,10,0,21,10,12,8,12.875,4,9,14,5,13.4,3.51,Need Additional Support
2,1,1,1,10,11,0,20,0,0,0,0,0,0,0,0,0,-0.92,Graduate
3,1,22,27,7,6,0,36,6,0,0,0,0,6,0,0,0,-3.12,Need Additional Support
4,9,22,27,10,7,0,43,18,19,18,14.63157895,10,13,14,13,14.23076923,-4.06,Graduate
16,1,13,14,10,8,0,19,6,0,0,0,0,6,0,0,0,2.02,Need Additional Support
5,1,3,1,3,9,0,20,10,12,10,13,5,11,11,11,12.27272727,2.02,Graduate
10,1,22,28,5,8,0,19,6,0,0,0,0,6,0,0,0,-0.92,Need Additional Support
6,1,1,1,5,5,0,20,6,15,4,14.2,0,6,17,4,13.25,-4.06,Need Additional Support
12,1,3,4,5,4,0,20,7,9,6,13.26666667,0,7,10,5,12.3,1.79,Need Additional Support
16,1,13,1,10,4,0,20,7,12,6,11.66666667,0,7,10,3,13,-0.92,Enrolled
10,1,22,27,7,8,0,18,6,8,6,13.85714286,0,6,6,6,15,0.79,Graduate
9,1,1,28,5,8,0,18,5,9,3,13,0,5,11,3,11,3.51,Enrolled
6,1,13,14,10,10,0,19,5,6,5,13.4,0,5,5,5,12.8,1.74,Graduate
15,1,1,28,5,8,0,18,6,6,6,12.66666667,0,6,7,6,12.57142857,1.74,Graduate
12,1,22,27,10,10,0,18,7,7,6,12.51666667,0,7,7,6,12.51666667,0.32,Need Additional Support
12,1,23,28,10,6,0,20,7,11,6,11.61666667,0,7,7,7,13,0.79,Enrolled
10,1,13,27,10,8,0,20,6,13,2,10,0,6,12,4,10.75,0.32,Enrolled
9,1,13,14,4,4,0,20,5,11,3,10.33333333,0,5,10,3,10.66666667,1.79,Enrolled
6,1,22,28,10,8,0,18,5,12,5,13.14285714,0,5,6,5,11.4,-3.12,Graduate
9,1,2,14,5,6,0,18,5,5,5,12.6,0,5,5,5,14,2.02,Graduate
11,1,1,1,5,6,0,21,6,12,3,11,0,6,12,2,11,-3.12,Need Additional Support
9,1,13,14,10,8,0,19,5,8,5,10.8,0,5,9,4,11.25,-0.92,Graduate
2,1,3,14,3,10,0,19,0,0,0,0,0,0,0,0,0,1.74,Need Additional Support
14,1,23,28,10,10,0,19,5,5,5,12.8,0,5,5,5,14.2,-3.12,Graduate
6,1,13,28,5,8,0,19,6,15,6,14.16666667,0,6,13,6,12.2,-4.06,Graduate
13,1,1,1,5,6,0,19,7,12,5,12.1,0,7,0,0,0,0.79,Need Additional Support
6,14,22,27,10,10,0,20,6,7,6,14.16666667,1,6,17,5,13.77777778,1.79,Graduate
16,1,13,28,10,4,0,18,6,8,5,12.8,0,6,7,5,13.4,-3.12,Enrolled
10,1,1,29,6,4,0,18,6,7,6,13,0,6,6,6,13.66666667,1.79,Graduate
12,1,1,27,9,10,0,19,7,7,7,13.46714286,0,8,9,8,15.01111111,1.79,Graduate
12,1,13,14,6,9,0,18,7,9,7,13.2375,0,8,9,7,13.74285714,0.79,Need Additional Support
5,1,22,27,10,10,0,18,6,6,6,12.33333333,0,6,6,6,13,0.32,Graduate
9,1,1,14,5,9,0,19,5,7,5,12.4,0,5,5,5,14.6,3.51,Graduate
12,1,1,14,4,4,0,19,7,8,5,14,0,7,7,0,0,0.79,Need Additional Support
10,1,23,27,10,8,0,20,9,15,9,11.66666667,2,7,8,7,11.71428571,0.32,Graduate
14,1,1,28,4,10,0,19,6,7,5,12,0,6,9,4,12.5,1.79,Need Additional Support
14,1,13,14,6,6,0,20,5,7,4,12.2,0,5,5,4,11.5,0.32,Graduate
15,1,1,1,20,39,0,18,6,6,6,14.83333333,0,6,6,6,14.83333333,3.51,Graduate
12,1,13,1,5,8,0,20,7,9,5,13.188,0,8,9,7,12.89285714,2.02,Enrolled
12,1,13,1,5,9,0,18,7,8,7,17.125,0,8,8,8,17.5875,0.79,Graduate
12,1,22,27,10,10,0,19,7,7,6,12.66666667,0,7,7,6,12.66666667,0.32,Graduate
15,1,13,1,5,5,0,19,6,8,6,12.66666667,0,6,10,5,12,1.79,Graduate
9,1,3,1,4,4,0,22,5,8,0,0,0,5,7,0,0,3.51,Enrolled
10,1,1,10,10,11,0,19,6,7,6,11.33333333,0,6,6,6,11.5,1.79,Graduate
12,1,13,14,10,8,0,19,7,10,7,13.605,0,8,11,8,12.33125,-4.06,Graduate
16,1,22,28,6,7,0,19,6,10,5,12,0,6,9,5,10.8,-3.12,Graduate
11,1,10,14,10,10,0,19,5,10,0,0,0,5,10,0,0,0.32,Need Additional Support
11,1,1,27,10,11,0,20,6,8,5,11.2,0,6,12,3,11.66666667,0.32,Need Additional Support
9,1,3,14,3,11,0,18,5,10,5,13.375,0,5,9,5,14.16666667,0.79,Graduate
12,1,1,14,10,10,0,20,7,8,6,13.86333333,0,8,9,7,14.17857143,2.02,Graduate
2,1,3,27,3,9,0,18,0,0,0,0,0,0,0,0,0,-3.12,Enrolled
6,1,1,28,5,8,0,19,5,6,5,12.4,0,5,6,5,13.4,0.32,Graduate
16,1,23,28,8,7,0,18,6,11,3,12.33333333,0,6,10,5,10.83333333,-3.12,Enrolled
16,1,22,27,10,10,0,18,6,7,6,13.33333333,0,6,8,5,11.8,0.32,Graduate
16,1,3,27,3,6,0,21,6,10,3,12.66666667,0,6,12,3,10,-3.12,Need Additional Support
16,1,23,27,7,7,0,19,6,8,6,12,0,6,10,4,11.5,0.32,Need Additional Support
9,1,23,28,10,10,0,18,5,5,5,10.6,0,5,5,5,11.8,1.79,Graduate
10,1,1,27,8,10,0,18,6,8,6,12.25,0,6,7,6,11.85714286,-1.7,Graduate
10,1,13,1,10,11,0,20,6,10,4,11,0,6,9,6,11.83333333,-3.12,Graduate
3,1,1,14,7,9,0,24,6,11,5,11,0,6,9,5,12.6,2.02,Graduate
14,1,13,1,5,2,0,19,6,6,6,13.16666667,0,6,9,6,13,1.74,Need Additional Support
12,1,13,27,10,8,0,18,7,9,7,12.85555556,0,8,12,7,12.76111111,-4.06,Graduate
12,1,13,14,10,10,0,18,7,8,7,14.91875,0,8,8,8,15.355,-4.06,Graduate
16,1,10,10,5,5,0,21,6,13,4,11.5,0,6,10,3,11,1.74,Need Additional Support
14,1,1,14,6,5,0,19,5,5,5,14.2,0,5,5,5,14.2,0.32,Graduate
15,1,13,27,8,8,0,19,6,6,6,12.5,0,6,7,6,13,-4.06,Graduate
4,1,1,27,7,7,0,47,1,1,0,0,0,6,0,0,0,3.51,Enrolled
10,1,13,14,8,9,0,19,6,10,5,11.66666667,0,6,12,4,11,0.79,Graduate
12,3,2,2,2,2,0,29,8,8,7,14.25714286,1,8,8,7,14.25714286,-1.7,Graduate
10,1,13,14,5,9,0,21,6,13,3,12,0,6,12,2,11.33333333,-0.92,Need Additional Support
6,1,22,14,10,8,0,28,5,13,4,11.25,0,5,11,4,10.5,-1.7,Enrolled
13,1,22,27,4,11,0,20,7,8,7,12.45714286,0,8,8,8,13.5625,-4.06,Graduate
12,1,2,28,5,6,0,19,7,7,6,11.68333333,0,7,7,6,11.68333333,0.32,Graduate
3,1,13,2,5,7,0,26,6,10,3,11.66666667,0,6,8,5,12,-3.12,Graduate
11,1,22,27,10,9,0,20,6,8,4,11.75,0,6,6,6,13.16666667,2.02,Need Additional Support
14,1,22,27,10,10,0,18,5,6,3,11.66666667,0,5,6,4,13.5,0.32,Enrolled
16,1,22,14,10,6,0,27,6,9,5,13.2,0,6,10,5,12,0.32,Graduate
12,1,19,24,12,12,0,20,7,8,4,11.95,0,7,8,4,11.95,0.32,Need Additional Support
16,1,22,14,10,6,0,18,6,8,5,12.4,0,6,12,5,10.4,-3.12,Need Additional Support
12,3,1,1,10,6,0,33,7,8,6,14.35,3,8,10,6,14.58333333,-0.92,Need Additional Support
16,1,3,1,4,4,0,35,21,21,21,12.61904762,13,19,19,19,12.78947368,1.79,Graduate
17,14,22,14,10,9,0,26,6,7,6,12.66666667,2,6,7,6,13.16666667,-3.12,Enrolled
15,12,13,14,4,5,0,27,6,6,5,12,0,6,6,0,0,2.02,Need Additional Support
5,1,1,27,6,6,0,19,6,6,6,12.16666667,0,6,6,0,0,-4.06,Need Additional Support
11,1,1,14,5,7,0,20,6,0,0,0,0,6,0,0,0,2.02,Need Additional Support
9,1,3,3,6,8,0,20,5,9,3,10,0,5,9,3,10.57142857,1.74,Need Additional Support
10,1,1,27,6,10,0,21,10,18,8,11.5,0,6,12,4,10,-3.12,Enrolled
12,1,23,1,10,5,0,18,7,7,6,13.05,0,7,7,6,13.05,0.32,Graduate
6,1,1,14,10,10,0,24,6,10,2,11,0,6,6,0,0,3.51,Need Additional Support
5,1,1,3,5,2,0,20,6,7,6,11.5,0,6,6,6,12,-0.92,Graduate
11,1,13,28,10,9,0,21,6,7,6,12,0,6,6,6,12.5,0.79,Graduate
3,1,1,27,8,4,0,23,6,13,2,10,0,5,12,1,10,-3.12,Enrolled
9,1,10,3,5,4,0,24,5,5,0,0,0,5,5,0,0,0.32,Need Additional Support
16,1,1,1,5,11,0,21,6,0,0,0,0,6,0,0,0,1.79,Need Additional Support
12,1,23,28,10,9,0,18,8,8,7,12.24285714,0,8,8,7,12.24285714,-1.7,Graduate
17,15,13,1,4,5,0,27,5,0,0,0,0,5,0,0,0,3.51,Need Additional Support
12,1,22,27,6,6,0,18,8,8,8,12.93375,0,8,8,8,12.93375,-3.12,Graduate
7,3,3,2,3,3,0,35,5,0,0,0,0,5,0,0,0,0.79,Need Additional Support
16,1,13,14,4,9,0,18,7,9,7,12.57142857,0,7,8,7,14.42857143,2.02,Graduate
12,1,1,3,28,19,0,35,3,4,3,11.81666667,0,3,3,3,11.33333333,2.02,Enrolled
6,1,1,1,5,8,0,19,5,9,4,13.75,0,5,13,4,14.33333333,1.74,Graduate
10,1,13,14,5,1,0,20,6,8,6,11.16666667,0,6,6,6,11.33333333,0.32,Graduate
12,1,13,14,8,8,0,18,8,8,7,12.32428571,0,8,8,7,12.32428571,1.74,Graduate
10,14,23,28,6,11,0,21,6,6,6,12.16666667,2,6,7,6,11.71428571,0.79,Graduate
10,1,13,27,10,9,0,18,6,11,5,11.14285714,0,6,11,4,11.25,-0.92,Graduate
10,1,19,24,1,1,0,18,6,9,4,11,0,6,9,4,10.75,0.32,Graduate
12,1,13,28,10,10,0,18,8,8,7,12.91428571,0,8,8,7,12.91428571,-1.7,Graduate
15,1,3,14,2,5,0,18,6,6,6,13.83333333,0,6,6,6,14.16666667,-0.92,Graduate
6,1,13,1,9,8,0,19,6,8,6,13.85714286,0,6,9,5,13.4,0.79,Graduate
11,12,3,14,3,4,0,36,6,7,6,13.71428571,0,6,6,5,12.8,-0.92,Need Additional Support
12,1,23,1,8,5,0,18,8,8,7,12.64285714,0,8,8,7,12.64285714,-1.7,Graduate
12,1,22,27,10,10,0,18,7,7,6,12.91666667,0,7,7,6,12.91666667,0.32,Graduate
8,1,1,3,10,3,0,20,6,8,6,15.625,0,6,8,6,15.85714286,0.79,Graduate
17,1,22,27,10,10,0,26,5,7,0,0,0,5,8,0,0,-0.92,Need Additional Support
15,1,1,1,5,6,0,21,6,8,6,11.71428571,0,6,7,6,12,0.32,Graduate
13,15,1,1,5,6,0,25,7,10,6,12.125,0,8,9,8,13.3125,-4.06,Enrolled
9,1,13,3,6,6,0,19,5,7,5,11.6,0,5,5,5,11.6,1.79,Graduate
3,1,13,27,9,8,0,24,6,11,1,10,0,6,6,0,0,-3.12,Need Additional Support
3,1,1,14,6,5,0,27,6,16,1,10,0,6,13,0,0,3.51,Need Additional Support
6,1,13,27,2,4,0,21,5,10,0,0,0,5,9,2,13.5,0.32,Need Additional Support
9,1,23,28,8,8,0,18,5,7,4,13,0,5,8,3,12.33333333,-3.12,Graduate
16,1,22,27,6,8,0,19,6,6,6,13.33333333,0,6,6,6,14.5,1.74,Graduate
11,1,1,1,4,4,0,18,6,9,4,11.25,0,6,13,2,12.5,-3.12,Need Additional Support
12,1,13,1,6,10,0,19,7,9,5,13.85,0,8,9,7,12.19285714,2.02,Graduate
12,1,1,28,5,6,0,19,7,8,6,13.74166667,0,8,9,7,14.9125,-0.92,Graduate
17,17,25,5,4,4,0,33,6,7,6,15.33333333,0,5,5,5,15.8,2.02,Graduate
9,3,1,4,4,11,0,45,5,6,5,11,0,5,5,5,13.8,1.79,Graduate
10,1,1,1,10,10,0,20,6,6,6,12,0,6,7,6,12.85714286,2.02,Graduate
14,1,19,24,1,1,0,28,5,5,0,0,0,5,5,0,0,0.32,Need Additional Support
12,1,1,1,6,9,0,19,8,15,7,11.57142857,0,8,15,7,11.57142857,-1.7,Graduate
11,1,1,27,5,6,0,18,6,10,6,12.85714286,0,6,6,3,12.66666667,-1.7,Graduate
11,3,13,14,5,7,0,38,6,0,0,0,0,6,0,0,0,-4.06,Need Additional Support
14,1,1,3,5,4,0,19,5,5,5,13,0,5,5,5,13.2,-3.12,Graduate
11,1,1,27,10,10,0,21,6,9,5,11,0,6,8,5,12,-4.06,Graduate
9,1,22,1,10,11,0,21,5,12,3,12,0,5,12,1,15,-0.92,Need Additional Support
10,1,23,27,10,10,0,22,6,6,5,12.6,0,6,6,6,13,1.74,Graduate
16,1,13,14,6,8,0,18,6,8,5,13.4,0,6,7,6,13.16666667,-3.12,Graduate
10,1,22,27,4,10,0,18,6,9,6,11.33333333,0,6,9,6,11.57142857,-4.06,Graduate
8,1,13,1,10,10,0,25,5,14,4,13.5,0,5,10,4,14.25,-3.12,Need Additional Support
6,12,13,14,10,8,0,24,6,11,3,11.75,1,6,14,3,10.33333333,-0.92,Need Additional Support
12,1,3,1,5,5,0,19,7,10,6,12.47142857,0,7,8,7,11.4625,1.79,Enrolled
2,1,3,3,4,4,0,24,17,19,11,12.90909091,9,13,15,9,13.55555556,1.79,Enrolled
9,1,22,14,6,6,0,20,5,5,5,11.6,0,5,5,5,13.6,1.79,Graduate
9,1,22,1,10,2,0,25,5,5,0,0,0,5,9,0,0,1.74,Need Additional Support
9,1,23,14,10,11,0,20,10,13,9,12.9,4,10,12,10,12.36363636,3.51,Graduate
12,3,13,28,6,4,0,23,8,8,8,13.22,0,8,8,8,13.22,-3.12,Graduate
12,1,13,27,8,7,0,19,8,8,7,13.15142857,0,8,8,7,13.15142857,1.74,Graduate
4,14,22,27,10,11,0,29,6,13,3,12.75,0,6,8,3,11.33333333,0.79,Need Additional Support
11,1,13,27,5,8,0,21,6,8,6,11.33333333,0,6,8,4,12.25,2.02,Graduate
14,1,13,1,10,9,0,18,6,10,6,13.25,0,6,13,5,14.14285714,2.02,Graduate
5,1,13,28,10,10,0,19,6,7,5,12.4,0,6,6,5,12.4,-3.12,Enrolled
15,1,23,27,8,8,0,18,6,6,6,15,0,6,6,6,12.83333333,3.51,Need Additional Support
6,1,7,14,12,7,0,19,5,6,5,14.4,0,5,6,5,13,0.32,Graduate
15,1,22,27,10,9,0,18,6,12,1,11,0,6,12,0,0,-3.12,Enrolled
9,1,1,1,5,5,0,18,5,8,5,12.4,0,5,6,5,10.8,3.51,Graduate
13,12,23,27,8,8,0,37,7,13,1,16,0,7,12,0,0,3.51,Need Additional Support
17,15,22,27,7,7,0,29,5,10,5,13.57142857,0,5,14,5,12.33333333,-0.92,Graduate
5,1,22,27,10,10,0,18,6,6,6,11.83333333,0,6,6,6,12.5,0.32,Enrolled
10,1,1,1,10,9,0,19,6,8,5,11.66666667,0,6,9,5,12.66666667,1.79,Graduate
10,1,1,1,4,2,0,22,10,16,6,11.83333333,2,7,8,2,13,-0.92,Need Additional Support
11,1,22,28,10,8,0,20,6,8,6,11.16666667,0,6,10,5,10.6,-4.06,Graduate
3,1,22,27,13,13,0,34,6,0,0,0,0,6,0,0,0,-1.7,Need Additional Support
7,1,22,28,10,10,0,30,12,17,8,11.75,6,12,19,6,12.16666667,0.32,Need Additional Support
10,1,1,1,5,5,0,18,6,7,6,14,0,6,7,6,14,1.74,Graduate
10,1,23,14,10,6,0,18,6,6,6,12.83333333,0,6,6,6,12,1.79,Graduate
15,1,3,1,2,4,0,18,6,11,4,12.25,0,6,10,3,11.66666667,-3.12,Graduate
12,1,4,1,3,4,0,18,8,8,7,14.82857143,0,8,8,7,14.82857143,-1.7,Graduate
15,1,23,28,10,10,0,19,6,7,5,11.4,0,6,8,5,12.8,-1.7,Graduate
5,1,22,27,10,10,0,19,6,6,6,13,0,6,8,6,12.5,1.74,Graduate
12,1,1,1,10,10,0,18,8,8,7,13.67142857,0,8,8,7,13.67142857,-1.7,Graduate
4,14,22,28,5,9,0,21,6,9,6,12.66666667,0,6,8,5,12.8,0.79,Graduate
9,1,1,14,10,10,0,20,5,10,2,10,0,5,12,1,13,0.32,Need Additional Support
9,1,10,14,5,9,0,20,5,10,5,13.5,0,5,8,5,12.33333333,0.79,Graduate
12,1,5,1,3,6,0,19,7,8,7,12.67,1,8,8,8,13.55,2.02,Graduate
10,1,1,28,5,6,0,20,6,8,6,14.5,0,6,7,6,15.42857143,-0.92,Graduate
12,1,10,1,5,11,0,18,7,7,7,13.68571429,0,8,8,8,15.3875,0.79,Graduate
16,1,22,28,4,4,0,20,6,8,5,11,0,6,10,3,10.66666667,-1.7,Need Additional Support
8,3,5,4,3,1,0,29,9,16,7,11.55555556,5,7,12,5,13.2,0.32,Need Additional Support
12,1,13,14,6,7,0,18,7,7,7,13.79714286,0,8,8,8,13.775,1.79,Enrolled
